,,Name,SKU,Category,Brand,Unit,Cost Price,Sale Price,Min Stock Level,Current Stock,Description
,,Moving Sink Cock L/R,1011 A2,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock L/R,1011 A3,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1002 A,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1002A1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1038 A,Metal,Suzon,pcs,,0.0,5,0,
,,Fixed Basin Mixar,1003 A,Metal,Suzon,pcs,,0.0,5,0,
,,Fixed Basin Mixar,1037 A,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 A,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 A1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 A2,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1026 A,Metal,Suzon,pcs,,0.0,5,0,
,,Two in One Bib Cock,1016 A,Metal,Suzon,pcs,,0.0,5,0,
,,Bath Tub Mixar,1000 A,Metal,Suzon,pcs,,0.0,5,0,
,,Bath Tub Mixar,1001 A,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 1/2'',1014 B,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 3/4'',1013 B,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 1'',1040 B,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Bib Cock,1005 B,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Bib Cock,1005 B+,Metal,Suzon,pcs,,0.0,5,0,
,,Angle Stop Cock,1012 B,Metal,Suzon,pcs,,0.0,5,0,
,,Angle Stop Cock,1012 B+,Metal,Suzon,pcs,,0.0,5,0,
,,Pillar Cock,1008 B+,Metal,Suzon,pcs,,0.0,5,0,
,,Pillar Cock,1008 B,Metal,Suzon,pcs,,0.0,5,0,
,,Pillar Cock,1007 B,Metal,Suzon,pcs,,0.0,5,0,
,,Sink Bib Cock,1006 B,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1009 B,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1010 B,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1010 B1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1039 B,Metal,Suzon,pcs,,0.0,5,0,
